source,output,status
clockit emoji hand.jpeg,clockit_emoji_hand.png,ok_bg_removed
long nails emoji.jpeg,long_nails_emoji.png,ok_bg_removed
clockitemoji tongue out .jpeg,clockitemoji_tongue_out.png,ok
clockit emoji .jpeg,clockit_emoji.png,ok
